asla_forward;3utr;15186;6126899;403.4570657184249;209.5;[0.29573, 0.31761, 0.18993, 0.19673];0.01757;-0.03567
asla_reverse;3utr;15186;6126899;403.4570657184249;209.5;[0.29573, 0.31761, 0.18993, 0.19673];0.01757;-0.03567
baat_forward;3utr;570;144717;253.88947368421051;64.0;[0.24931, 0.16572, 0.28429, 0.30068];0.02802;0.20141
baat_reverse;3utr;570;144717;253.88947368421051;64.0;[0.24931, 0.16572, 0.28429, 0.30068];0.02802;0.20141
baro_forward;3utr;5206;3787022;727.4341144832886;476.5;[0.30617, 0.32968, 0.17489, 0.18926];0.03947;-0.03697
baro_reverse;3utr;5206;3787022;727.4341144832886;476.5;[0.30617, 0.32968, 0.17489, 0.18926];0.03947;-0.03697
chca_forward;3utr;35878;37982871;1058.6674563799543;968.0;[0.28498, 0.30671, 0.19979, 0.20851];0.02135;-0.03671
chca_reverse;3utr;35878;37982871;1058.6674563799543;968.0;[0.28498, 0.30671, 0.19979, 0.20851];0.02135;-0.03671
dare_forward;3utr;22213;14877779;669.7780128753433;446;[0.29884, 0.32002, 0.18629, 0.19462];0.02186;-0.03423
dare_reverse;3utr;22213;14877779;669.7780128753433;446;[0.29884, 0.32002, 0.18629, 0.19462];0.02186;-0.03423
dotr_forward;3utr;8290;1371177;165.40132689987936;99.0;[0.32732, 0.31378, 0.17562, 0.18328];0.02133;0.02112
dotr_reverse;3utr;8290;1371177;165.40132689987936;99.0;[0.32732, 0.31378, 0.17562, 0.18328];0.02133;0.02112
drme_forward;3utr;8876;4205842;473.84429923388916;260.5;[0.31927, 0.28921, 0.20037, 0.19116];-0.02353;0.0494
drme_reverse;3utr;8876;4205842;473.84429923388916;260.5;[0.31927, 0.28921, 0.20037, 0.19116];-0.02353;0.0494
loor_forward;3utr;961;292811;304.6940686784599;70;[0.34552, 0.20101, 0.20151, 0.25196];0.11127;0.2644
loor_reverse;3utr;961;292811;304.6940686784599;70;[0.34552, 0.20101, 0.20151, 0.25196];0.11127;0.2644
myed_forward;3utr;25742;3849948;149.55900862403854;91.0;[0.3519, 0.34475, 0.14174, 0.16161];0.0655;0.01027
myed_reverse;3utr;25742;3849948;149.55900862403854;91.0;[0.3519, 0.34475, 0.14174, 0.16161];0.0655;0.01027
noge_forward;3utr;16992;8737143;514.1915607344632;362.0;[0.28512, 0.30692, 0.1928, 0.21516];0.05481;-0.03681
noge_reverse;3utr;16992;8737143;514.1915607344632;362.0;[0.28512, 0.30692, 0.1928, 0.21516];0.05481;-0.03681
ruph_forward;3utr;5094;946678;185.84177463682764;96.0;[0.34, 0.32269, 0.1551, 0.18212];0.08013;0.02612
ruph_reverse;3utr;5094;946678;185.84177463682764;96.0;[0.34, 0.32269, 0.1551, 0.18212];0.08013;0.02612
